'snails	'con oc sen
antiscolic	chong doi nghich
antiseptic	thuoc sat trung
antiseptically	sat trung
antislavery	chong che do no le
antisocial	chong doi xa hoi
antisocialist	nguoi chong doi xa hoi
antisolar	chong doi
antispastic	chong co that
antisplenetic	chong tu tinh
antistrophic	phan dinh duong
antistrumatic	chong tinh dien
antistrumous	dong nguoc lai
antitheism	doi nghich
antitheist	phan phan than
antithesis	phan de
antitoxine	chat chong doc
antivaccination	chong tiem chung
antivaccinationist	chuyen gia chong ung thu
antivaccinist	nguoi chong ung thu
antivariolous	chong bien the
antivivisection	chong vi-rut
antivivisectionist	nguoi chong vi khuan
antizymotic	thuoc ha sot
antler	nhung nai
antoeci	truoc khi toi
antonomasy	tu trai nghia
antonym	tu trai nghia
antorgastic	chong co giat
antre	moi vao
antrovert	nghich hanh
anus	hau mon
anvil	cai de
anxietude	anquiet's
anxiety	su lo ngai
any	khong ti nao
anyone	bat cu ai 
anythingarian	bat cu thu gi
aortitis	dong mach chu
aoudad	con so
apair	huy ghep noi
apartment	can ho, chung cu
apartness	su xa cach
apathies	nuoc giai khat
apathistical	thien ve ly luan
ape	con vuon
aperea	thuc tien
aperient	ho se mo
aperies	ban se mo
aperitive	mon khai vi
apertness	khau do
aperture	mieng vo
apetalous	rogues
aphaeresis	chung roi loan cam xuc
aphanite	afinete
aphasy	mat ngon ngu
aphelion	su mo mong
apheliotropism	thuyet apheliotropism
aphemia	chung thieu mau
aphetism	thuyet than thanh
aphilanthropy	rep sap
aphis lion	su tu aphis
aphonia	chung chet choc
aphorist	nguoi noi cach ngon
aphoristically	cach ngon
aphrodisiac	thuoc kich duc
aphrodisiacal	kich thich tinh duc
apiarian	nguoi apiarian
apician	ao thuat gia
apieces	mieng vai
apiologist	chuyen gia ve te bao hoc
apishly	diem dam
aplanatism	chu nghia nguy quyen
apnoea	ngung tho
apocalypse	tan the
apocalyptically	khai huyen
apocopation	su sao chep
apocrisiarius	nguoi nguy tao
apocryphas	nguy thu
apode	tuy thuoc vao ban
apodeictically	theo phuong phap luan
apodictic	co tinh cach nguy bien
apodictically	theo cach nguy bien
apodixis	cua su chuoc toi
apodyterium	phong thay do
apogean	o dinh cao cua no
apolar	khong phan cuc
apolaustic	khong co moc mac
apollinaris water	nuoc apollinaris
apologetics	ho giao
apologizer	nguoi xin loi
apologue	xin loi
apology	loi xin loi
apomecometry	phep thu
apopemptic	khong co tu tuong
apostasies	dao tau
apostatizing	boi dao
apostemation	su phan sinh
aposteme	ap xe
apostleship	su do
apostolate	bo dao
apostolical	thuoc ve tong do
apostolically	ve mat tong do
apostolicism	chu nghia tong do
apostolicity	tinh tong do
apostrophe	dau nhay don
apotactite	nhung nguoi theo thuyet apotacists
apothecaries	tiem thuoc tay
apothecary	thuoc bao che
apothegmatist	bac si dieu tri
apozemical	thuoc ve ngon ngu
apparatuses	bo may
apparition	su hien ra
appealed	khang cao
appeared	da xuat hien
appeaser	nguoi khai pha
appellable	co the goi ra
appellate	phuc tham
appellative	thuoc ve ten goi
appellatively	thuoc ve mat tham my
appellativeness	ten goi
appellor	nguoi khang cao
append	noi them
appendicate	phan phu them
appendicitis	viem ruot thua
appendix	ruot thua
appension	luong huu
appetencies	su them an
appetibility	cam giac ngon mieng
appetition	loi thinh cau
appetize	lam ngon mieng
appetizer	mon khai vi
apple pie	banh tao
apple-faced	mat tao
apple-jack	ruou lam bang trai tao
appliable	co the trang bi
applicability	kha nang ung dung
applicancy	ung tuyen
application	dang ki
applicative	cac ung dung
applier	nguoi gioi giang
applique	da ap dung
applot	lo de
applying	nop don
appointable	co the bo nhiem
appointee	nguoi duoc bo nhiem
appointive	bo nhiem
appointment	cuoc hen
appointor	nguoi bo nhiem
appositive	thuoc ve phu gia
appraisable	co the tham dinh
appraiser	nguoi tham dinh
appraising	tham dinh
appreciable	dang tran trong
appreciativeness	su danh gia cao
apprehensively	e ngai
apprehensiveness	su e ngai
apprenticeage	tuoi hoc viec
apprenticeship	su hoc viec
apprise	cho biet
apprizer	nguoi khai khan
approach	cach tiep can
approachability	kha nang tiep can
approachable	de gan
approacher	nguoi tiep can
approachless	khong tiep can
approachment	su tiep can
appropinquity	chat luong
appropriable	co the chiem doat
approvable	co the chap thuan
approval	phe duyet
approvedly	duoc chap thuan
approver	nguoi phe duyet
approximately	khoang
approximation	su xap xi
approximative	gan dung
approximator	nguoi xap xi
appulsive	tu de cao
appurtenance	vat dung
apricot	qua mo
april	thang tu
apron man	nguoi dan ong mac tap de
apron string	day tap de
apronfuls	tap de
apronless	khong co tap de
apt	dung cach
aquarium	be nuoi ca
aquariums	be ca
aquarius	bao binh
aqueduct	mang dan nuoc
aqueity	chat nuoc
aquiform	tang chua nuoc
aquilated	pha nuoc
aquilon	du bao thoi tiet
aquitanian	nguoi nuoc bien
aquosity	su thuy chung
ara	chung toi mua
arabic	tieng a rap
arabin	a rap
araby	nguoi a rap
aracanese	tieng arakanese
arace	mot cuoc dua
arachnitis	viem mang nhen
arachnological	thuoc ve loai nhen
arachnologist	nha nhen hoc
arachnology	nganh nhen
araeometer	may do araeometer
aramean	nguoi aramean
araneidan	cac buoc ngau nhien
araneose	loai nhen
araucarian	nguoi a rap
arbalist	nguoi choi arbalist
arbalister	nguoi choi arbalister
arbitrable	co the phan xu
arbitrage	chenh lech gia
arbitrament	su phan xu
arbitrariness	su tuy tien
arbitrarious	tuy tien
arbitrary	bat ky
arbitrating	phan xu
arbor dianae	cay diana
arbor vitae	cay su song
arborescence	cau truc cay
arboricole	arboreal
arboriculture	nghe trong trot
arboriculturist	nha trong trot
arborization	su trong cay
arbuscular	cay kim cham
arch brick	gach vom
arch stone	da vom
arch-	vom-
archaeolithic	do da cu
archaeologist	nha khao co hoc
archaism	su co xua
archangel	thien than
archangelic	thien co
archbishopric	tong giam muc
archchancellor	tong thu tuong
archchemic	thieu mau nao
archdeaconship	chuc vu kien truc su
archdiocese	tong giao phan
archducal	tong tai
archenemy	ke thu khong doi troi chung
archeology	khao co hoc
archer	nguoi ban cung
archeress	cung nu
archi-	luu tru-
archiater	nguoi luu tru
archipelago	quan dao
architectress	nu kien truc su
architecture	nganh kien truc
archlute	vom hau
archly	vom
archmarshal	tong thong
archprelate	kien truc
archpriest	lon nhat
archway	cong to vo
arctic	bac cuc
arctisca	dia bac cuc
arcuation	vong cung
arcubalist	nguoi theo chu nghia ho quang
arcubalister	nha luu tru
ardurous	gian truan
areal	dien tich
arear	cua khu vuc
areek	cac linh vuc
arenga	anh ay dau
arenose	trong cac dau truong
areolation	su co lap
areole	hat ngoc
areopagist	nguoi theo thuyet benh hoan
arere	anh ay da lon len
argand lamp	den argand
argentate	ma bac
argentation	su khai khan
argentic	tieng argentic
argentite	nhung nguoi tranh luan
argillaceous	set
argued	tranh luan
argumentable	co the tranh luan
argus shell	vo argus
argus-eyed	doi mat cua argus
argute	ban la ke hen nhat
arhizous	ban dang bat dau
arianism	chu nghia arian
ariel gazelle	ariel linh duong
aries	bach duong
ariman	trong tam hon
arioso	thoang dang
arisen	co dong
aristocracies	cac tang lop quy toc
aristocracy	tang lop quy toc
aristocratical	thuoc ve quy toc
aristotelianism	chu nghia aristotle
aristotle's lantern	den long cua aristotle
aristulate	aristotle
arithmetic	mon so hoc
arithmometer	may do nhip do
ark shell	vo hom
arkite	kien truc su
arm-gret	canh tay mau xam
armature	phan ung dung
armenian	nguoi armenia
armful	co nhieu tay
armhole	lo canh tay
arming	trang bi vu khi
arminianism	chu nghia giet nguoi
armipotence	quyen nang
armisonous	co chat doc
armor-bearer	nguoi mang ao giap
armoric	giap tru
armorican	nguoi my
armure	ao giap
army worm	sau quan doi
aromatization	su thom hoa
aromatized	thom hoa
aromatizer	may lam thom
aroph	cao buoc:
arose	nay sinh
aroynt	ve ho
arpent	mau anh
arranged	duoc sap xep
arrayer	nguoi dan tran
arraying	dan xep
arrayment	dan tran
arrear	truy thu
arrect	dung dung
arrenotokous	con duc
arreptitious	e so
arrested	bat giam
arrestee	nguoi bi bat
arrhizous	rao ruc
arrhytmy	loan nhip tim
arrivance	su den
arrived	toi noi
arroba	tai dau hieu
arrowheaded	dau mui ten
arrowroot	bot hoang tinh
arrowwood	cay mui ten
arrowworm	sau mui ten
arrowy	co mui ten
arroyos	dong suoi
arsenal	kho vu khi
arseniuret	thach tin
arsenopyrite	cac arsenophores
art union	doan nghe thuat
arterialized	huyet mach hoa
arterializing	lam dong mach
arteriography	chup dong mach
arteriole	tieu dong mach
arteriology	khoa dong mach
arteritis	viem dong mach
artesian	nguoi artesian
artfully	mot cach nghe thuat
arthritis	viem khop
arthrography	nganh khop hoc
arthrology	khoa khop hoc
arthrosis	chung kho khop
arthrozoic	co sinh
artichoke	atiso
articulately	ranh mach
articulator	nguoi an khop
articuli	mat hang
articulus	bai bao
artificious	nhan tao
artilize	nghe thuat hoa
artilleryman	linh phao binh
artiodactylous	arodactyla
artisan	nghe nhan
artistic	thuoc ve nghe thuat
artistry	tinh nghe thuat
artless	khong co nghe thuat
artlessly	khong nghe thuat
artlessness	vo nghe thuat
artsman	nghe si
arundineous	co nhieu dat
asafetida	bot nghe
asbestus	amiang
ascension	thang thien
ascensive	len cao
ascians	nguoi ascians
ascidiarium	ascidian
ascitical	co truong
ascribe	thuong gan
ascribed	nhu da quy dinh
ascribing	ke don
ascript	mot kich ban
ascription	qui cho
ascriptitious	khong giong nhu mo ta
ash wednesday	tro thu tu
ash-colored	mau tro
ash-fire	lua tro
ash-oven	lo tro
ashler	nguoi danh tro
ashlering	gat tan
ashtaroth	nationtroth
ashtoreth	hop dung tan thuoc
aside	qua mot ben
asiphonata	chung toi khong pham toi
asiphonate	hay nhin vao no
asiphonea	chung toi khong goi
asiphonida	chung toi khong dong bang
asitia	chau a
aslake	ban goc
aslope	mot cai doc
aspect	dien mao
aspectant	hay de ho nhin
aspersing	boc len
asphaltic	nhua hoa
asphyxia	su ngop tho
asphyxy	ngat tho
aspirant	nguoi khao khat
assagai	ben ngoai assa
assailed	bi danh
assailment	su tan cong
assamese	nguoi assamese
assassinated	bi am sat
assassinating	am sat
assassination	su am sat
assassinator	ke am sat
assayer	nguoi khao nghiem
assaying	khao nghiem
assecution	su hanh quyet
assembler	nguoi lap rap
assembling	lap rap
assemblymen	tho lap rap
assertor	toi yeu cau
assertorial	nguoi khang dinh
assertory	qua quyet
assessable	co the danh gia duoc
assessorship	su giam dinh
assever	khang dinh
asseveration	su dam bao
asseveratory	su thu thach
assientist	nguoi theo chu nghia ung ho
assignation	su phan cong
assignee	nguoi duoc giao
assimilability	kha nang dong hoa
assimulation	dong hoa
assish	duoc thanh lap boi
assister	de ho tro
assistive	tro giup
assistless	khong tro giup
associationism	chu nghia lien ket
assorted	thap cam
assuage	su giup do
assuaged	duoc bao dam
assuredness	su yen tam
assurer	de dam bao
assurgent	ho tang
asswage	su danh lua
assyriologist	bac si nghien cuu
astarboard	van truot tuyet
astart	mot khoi dau
astaticism	thuyet thien van
asterion	trong so cac ngoi sao
asterisk	dau hoa thi
asterolepis	luoi sao
asterophyllite	vat lieu thien van
asthenopia	benh suy nhuoc co the
asthma	hen suyen
asthmatic	benh hen suyen
astigmatic	nguoi bi suy nhuoc
astonishing	kinh ngac
astragalomancy	thien van phong thuy
astrand	mot soi day
astrict	mot nghiem ngat
astringently	lam se khit lo chan long
astringer	chat lam se
astringing	lam se
astro-	chiem tinh-
astroite	cac astros
astrolater	tau vu tru
astrologer	nha chiem tinh
astrologize	chiem tinh
astrology	chiem tinh hoc
astrometeorology	khi tuong thien van
astrometer	thien van ke
astrometry	phep do thien van
astronomer	nha thien van hoc
astronomian	trong thien van hoc
astronomize	chiem tinh hoa
astronomy	thien van hoc
astrophotography	chup anh thien van
astrophyton	vat ly thien van
astroscopy	noi soi thien van
astrotheology	khoa thien the hoc
astucity	su sac sao
asturian	nguoi thien van
asylum	ti nan
asylums	nha ti nan
at one	tai mot
ataman	nguoi duoc giao nhiem vu cua ban
ataunto	ah thi tran va
athalamous	phuong
atheism	thuyet vo than
atheneum	mang xo vua
atheology	vo than hoc
atheous	nguoi vo than
atheroid	dong mach
atheroma	mang xo vua
atheromatous	xo vua
athlete	luc si
athletics	the van hoi
atlantides	o atlantis
atmologist	nha nghien cuu atmologist
atokous	mien lai
atoll	dao san ho
atomically	ve mat nguyen tu
atomicism	chu nghia nguyen tu
atomicity	tinh nguyen tu
atomism	thuyet nguyen tu
atomist	nguoi theo thuyet nguyen tu
atomistic	thuoc ve nguyen tu
atomize	nguyen tu hoa
atomizer	may phun thuoc
atomology	nguyen tu hoc
atomy	nguyen tu
atonement	su chuoc toi
atoning	chuoc toi
atrabilarious	bat binh thuong
atramentarious	atramentary
atrip	mot chuyen di
atrium	tam nhi
atrophied	bi teo
atrophy	teo
atropism	chung teo
attacca	cac cuoc tan cong
attachable	co the gan duoc
attache	tuy vien
attackable	co the tan cong
attacked	bi tan cong
attacker	ke tan cong
attainability	kha nang dat duoc
attaintment	su chung kien
attaste	su an y
attemptable	co the co gang
attempter	nguoi co gang
attender	nguoi phuc vu
attendment	su tham du
attentate	nhung vu am sat
atticize	gac mai
atting	diem nhan
attinge	rut tham
attitudinal	thai do
attle	tinh dau
attorney-general	bo truong tu phap
attractability	kha nang thu hut
attracting	thu hut
attractivity	su hap dan
attractor	nguoi thu hut
attrition	su tieu hao
au fait	nhan tien
auctioneer	nguoi ban dau gia
audible	nghe duoc
audibleness	kha nang nghe
audibly	nghe ro
audience	su tiep kien
audiometer	may do thinh luc
audita querela	nghe loi phan nan
audited	da kiem toan
auditing	kiem toan
audition	thu giong
auditor	kiem toan vien
auditorship	su kiem toan
auditress	nu kiem toan vien
augur	chiem tinh gia
augural	so tam
auguries	cac the ky
augurist	nguoi theo chu nghia suy luan
august	thang tam
augustinianism	thuyet than tien
augustinism	thuyet suy luan
augustly	thang tam
auk	them vao doa
aulnage	bai tha ma
aumail	ve danh du
aumbry	be nuoc
auntrous	ba co
auntter	di ruot
aunty	bac gai
aurae	con gio
auricular	nhi that
auriscope	kinh hau mon
aurora	rang dong
auroras	cuc quang
auscultator	may nghe tim thai
auscultatory	nghe tim thai
auspicate	ban uoc
auspice	bao trong
auspicial	hanh phap
auspicious	tot lanh
austerely	khac kho
austereness	su khac kho
austerity	that lung buoc bung
autarchy	che do tu tri
authorizable	co the cho phep
authorless	khong co tham quyen
authorly	co tac gia
authorship	quyen tac gia
authotype	tac gia
auto-	tu dong-
autobiographies	tu truyen
autobiographist	nguoi viet tu truyen
autocephalous	chung tu man
autochronograph	tu dong bam gio
autochthonism	thuyet tu tri
autocrator	nguoi tu dong hoa
autogenetic	tu di truyen
autogenously	tu sinh
automatism	chu nghia tu dong
automorphic	tu dong hoa
automorphism	su tu dong hoa
autonomy	quyen tu tri
autoomist	tu o to
autoplastic	tu deo
autopsy	kham nghiem tu thi
autotheism	chung tu ky
autotheist	chuyen gia tham my
auxiliar	tro ly
auxiliaries	chat phu tro
auxiliatory	bo tro
avadavat	loi thu toi
availabilities	tinh kha dung
availableness	su san co
availment	kha dung
avalanche	tuyet lo
avatar	hinh dai dien
aventure	cuoc phieu luu
averaging	tinh trung binh
aversation	su thu dich
aversion	ac cam
avertible	co the chien dau duoc
avertiment	ho se quay di
aviary	chuong chim
aviation	hang khong
avicular	co thien huong
aviculture	chan nuoi gia cam
avise	cho toi biet
aviseful	ham hoc hoi
avision	mot tam nhin
aviso	canh bao
avocado	trai bo
avocative	hieu dong
avoided	tranh
avoider	nguoi tranh
avoirdupois	havedupois
avolate	ham loi
avoucher	mot chung tu
avow	chao oi
avowance	su san sang
avowed	duoc cho phep
avower	nguoi tien phong
awaited	da cho doi
awaked	thuc day
awakenment	su thuc tinh
awarder	nguoi trao giai
awayward	di xa
awkly	kho xu
awl-shaped	hinh dui
awless	ulysses
awork	mot cong viec
aworking	lam viec
awreke	mot gio
awrong	mot sai lam
awry	khong nhu y
axe	cay riu
axeman	nguoi chay riu
axes	riu
axially	theo truc
axilla	long nach
axillaries	soi truc
axillary	nach
axle box	hop truc
axle guard	bao ve truc
axman	tho riu
axstone	da riu
ayle	dau
ayont	mot vi du
ayrie	thoang dang
ayuntamiento	toa thi chinh
azalea	cay do quyen
azaleas	hoa do quyen
azedarach	sourach
azimuth	phuong vi
azo-	co the-
azotite	nitrogens
azotize	azo hoa
azymite	banh mi khong men
baalism	chu nghia can bang
baalist	tu qua bong
babbitt metal	kim loai babbitt
babbled	noi bap be
babbler	khuou
babblery	loi noi lam nham
babian	tam lan
babiroussa	bat len
baby farm	trang trai tre em
baby farmer	em be nong dan
baby farming	nuoi con nho
baby jumper	ao khoac tre em
babyhood	mu trum dau cho be
babyhouse	nha tre con
babyism	chu nghia tre tho
babylonian	nguoi babylonian
babyroussa	o babyrou
babyrussa	em be nga
babyship	trong tre
bacchanalianism	chu nghia phu nu
bacchii	be gai
bacciferous	thuoc ve ung thu
bachelor's button	nut cu nhan
bachelorhood	cuoc song doc than
bacillariae	tu tai
bacillus	truc khuan
backarack	gia sau
backband	day deo lung
backbite	noi xau sau lung
backdoor	cua sau
backdown	lui xuong
backed	hau thuan
backgammon	co tho cao
backhand	trai tay
backhandedness	su quay lung lai
backhouse	nha sau
backless	khong co lung
backlog	ton dong
backplate	tam nen
backsaw	cua nguoc
backsheesh	dau gach cheo
backsight	tam nhin nguoc
backslidden	quay lung lai
backslider	thanh truot nguoc
backsliding	truot nguoc
backstair	sau lung
backstairs	cau thang sau
backstitch	vai boc lai
backstress	nguoi dung sau
backsword	thanh kiem nguoc
backwardation	su lui lai
backwardness	lac hau
backwash	rua nguoc
backwater	nuoc dong
backworm	giun lung
bacteriology	vi khuan hoc
bacterioscopist	nha vi khuan hoc
bacterioscopy	soi vi khuan
bad lands	vung dat xau
baddish	cach ung xu toi
badger	con lung
badger-legged	chan lung
badgered	co huy hieu
badgerer	nguoi cap huy hieu
badian	o vinh
badness	tinh xau
baffling	co vach ngan
bag net	tui luoi
bagasse	ba mia
baggage master	chu hanh ly
baggager	nguoi choi baggager
baggala	ho da dong cua
baggily	co tui xach
baggy	rong thung thinh
bagpiper	nguoi moc tui
bagreef	ran tui
bague	vong
baguette	banh mi dai
bagwig	tui nem
bailing	co ao trang
baiting	moi chai
bakehouse	tiem banh mi
baker-legged	chan lam banh
bakery	cua hang banh mi
baking	nuong banh
balance	thang bang
balance wheel	xe can bang
balanceable	co the can bang
balancer	nguoi can bang
balancing	thang bang
balaniferous	co hoa la
balanite	tam baleen
balas ruby	ruby tra loi
bald eagle	dai bang hoi
bald-faced	mat hoi
balder	nguoi dong kien
baldric	hoi dau
bale	kien hang
baled	dong kien
